Original u	Witness	Lower u	Upper u
0.7503990437	0.4902276631 - 0.7346762199*E1 + 0.7282662843*E1^2 - 0.285039909*E1^3 + 0.0996271758*E2 - 0.8282969186*E1*E2 + 0.3721822291*E2^2 - 0.8184198662*E3 - 0.9703096207*E1*E3 + 0.0611092822*E2*E3 + 0.098307764*E3^2 + Piecewise[{{-0.9980107036 - 7.9083270533*E1, E1 < -0.1261974495}}, 1.5889338611 + 12.5908555826*E1]	0.7503989556	0.7503991365
0.7503991439	0.4996779447 - 0.7242091333*E1 + 0.1933949151*E1^2 - 0.4808675622*E1^3 + 0.0296486004*E2 - 1.3828291377*E1*E2 + 0.3721862673*E2^2 - 0.8800592141*E3 - 1.4586985933*E1*E3 + 0.0611100345*E2*E3 + 0.098308199*E3^2 + Piecewise[{{-1.1789444155 - 9.3420398655*E1, E1 < -0.1261977504}, {1.4864664364 + 11.7788663536*E1, E1 >= -0.1261977504}}, -0.402466014 - 3.189169479*E1]	0.7503990437	0.7503992249
0.7503991726	0.7337530004 + 1.6412379223*E1 + 4.2572122411*E1^2 - 0.341878825*E1^3 + 0.8828814472*E2 + 5.3782398862*E1*E2 + 0.3721874204*E2^2 - 1.3410395829*E3 - 5.1115241543*E1*E3 + 0.0611102494*E2*E3 + 0.0983083232*E3^2 + Piecewise[{{4.8388788474 + 38.3435959474*E1, E1 >= -0.1261978364}, {-3.3143943344 - 26.2634798626*E1, E1 < -0.1261978364}}, 0.2188565146 + 1.734233493*E1]	0.7503991439	0.7503992029
0.7503992845	0.4730582509 - 0.9629127384*E1 - 0.0072600023*E1^2 - 0.3305691929*E1^3 - 0.0793984675*E2 - 2.2469449683*E1*E2 + 0.3721919281*E2^2 - 0.7193266162*E3 - 0.1849806537*E1*E3 + 0.0611110892*E2*E3 + 0.0983088087*E3^2 + Piecewise[{{-0.680712118 - 5.3939934743*E1, E1 < -0.1261981723}, {1.2528272603 + 9.9274596228*E1, E1 >= -0.1261981723}}, -0.0223072784 - 0.1767638786*E1]	0.7503991726	0.7503994314
0.7503994738	0.1981860946 - 0.3312373751*E1 - 0.0495481321*E1^2 - 0.1535881714*E1^3 - 0.0189026265*E2 - 0.8008630775*E1*E2 + 0.1497890086*E2^2 - 0.2886542367*E3 - 0.0678058984*E1*E3 + 0.024594286*E2*E3 + 0.0395639972*E3^2 + Piecewise[{{-0.1998682582 - 1.5837579477*E1, E1 == -0.1261987405 || E1 < -0.1261987405}}, 0.3255939226 + 2.5800092889*E1]	0.7503992845	0.7503996754
0.7503995668	0.5776747037 + 0.0692152717*E1 + 1.6252775154*E1^2 - 0.1564353578*E1^3 + 0.3155677295*E2 + 0.8827256635*E1*E2 + 0.3722032963*E2^2 - 0.8323522451*E3 - 1.080471635*E1*E3 + 0.0611132071*E2*E3 + 0.0983100332*E3^2 + Piecewise[{{-1.1611454014 - 9.2009066741*E1, E1 < -0.1261990196}, {1.6165888802 + 12.8098370786*E1, E1 >= -0.1261990196}}, 0.2047881029 + 1.622739254*E1]	0.7503994738	0.7503996606
0.7503996762	0.6390190515 + 0.3682919441*E1 + 0.1552637918*E1^2 - 0.064905301*E1^3 + 0.1043961189*E2 - 0.7906150883*E1*E2 + 0.3722077037*E2^2 - 0.7945415324*E3 - 0.7808105489*E1*E3 + 0.0611140282*E2*E3 + 0.0983105079*E3^2 + Piecewise[{{0., Inequality[-0.126199348, LessEqual, E1, LessEqual, -0.126199348]}, {-1.0815501785 - 8.5701724715*E1, E1 < -0.126199348}}, 1.2904257998 + 10.2252968805*E1]	0.7503995668	0.7503997902
0.7503997948	0.6041364772 + 0.1122953136*E1 + 0.3170772502*E1^2 - 0.0672518907*E1^3 + 0.082123419*E2 - 0.9671230274*E1*E2 + 0.3722124824*E2^2 - 0.7462711401*E3 - 0.3982649689*E1*E3 + 0.0611149185*E2*E3 + 0.0983110226*E3^2 + Piecewise[{{-0.9994760636 - 7.9197971995*E1, E1 < -0.1261997042}, {1.2104170624 + 9.5912828831*E1, E1 >= -0.1261997042}}, 0.3025986311 + 2.3977760733*E1]	0.7503996762	0.7503999215
0.7503998797	0.5860355797 - 0.0947699672*E1 - 0.1898479479*E1^2 - 0.0906108435*E1^3 - 0.0433344486*E2 - 1.9612568394*E1*E2 + 0.3722158999*E2^2 - 0.6900570145*E3 + 0.0472094479*E1*E3 + 0.0611155552*E2*E3 + 0.0983113908*E3^2 + Piecewise[{{-1.0330196553 - 8.1855783846*E1, E1 < -0.1261999588}}, 1.6342102351 + 12.9493721712*E1]	0.7503997948	0.7504000109
0.7503999987	0.5864291934 + 0.0216561713*E1 + 0.6986420784*E1^2 - 0.1675644166*E1^3 + 0.0974467127*E2 - 0.8457364752*E1*E2 + 0.3722206922*E2^2 - 0.8130680528*E3 - 0.9274677328*E1*E3 + 0.061116448*E2*E3 + 0.0983119069*E3^2 + Piecewise[{{-1.095584903 - 8.6813166395*E1, E1 < -0.126200316}}, 1.3386074061 + 10.607005187*E1]	0.7503998797	0.7504001106
